Date,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2023-05-11 06:00:00,28433.3,28443.4,28291.0,28356.0,3880.805,110059968.9361,1499,1749.647,49647009.6459
2023-05-11 07:00:00,28356.0,28443.6,28268.1,28352.0,4810.72,136446076.3191,1626,2447.931,69468395.1585
2023-05-11 08:00:00,28356.0,28443.1,28268.1,28352.0,4720.663,133860316.1748,1540,2481.354,70400323.3439
2023-05-11 09:00:00,28356.7,28443.0,28268.1,28352.0,4133.782,117229065.1941,1770,2069.312,58717497.0697
2023-05-11 10:00:00,28352.0,28441.9,28268.1,28356.0,4777.946,135525159.4624,1622,2682.618,76126627.5285
2023-05-11 11:00:00,28352.0,28443.0,28312.0,28352.0,4733.969,134270349.8502,1802,2463.96,69923413.4851
2023-05-11 12:00:00,28354.0,28442.8,28313.7,28352.0,4595.168,130303683.3369,2462,2068.038,58666763.2311
2023-05-11 13:00:00,28352.0,28442.8,28312.0,28356.0,4952.989,140483733.0162,2477,2628.787,74598418.0002
2023-05-11 14:00:00,28354.5,28439.9,28250.0,28356.0,6576.942,186465486.0353,2470,3076.274,87243779.9332
2023-05-11 15:00:00,28352.0,28388.0,28250.1,28250.2,5260.131,149125379.6016,1799,2413.441,68441230.3928
2023-05-11 16:00:00,28352.0,28387.9,28251.3,28352.0,3648.213,103333761.9661,3830,1664.502,47195476.62
2023-05-11 17:00:00,28352.0,28387.9,28251.3,28251.3,6674.713,188880558.2257,7084,2039.762,57833530.2223
2023-05-11 18:00:00,28278.4,28351.2,28110.7,28199.9,5396.239,152590869.0424,8839,2542.215,71996870.7447
2023-05-11 19:00:00,28157.8,28224.6,27800.0,27825.1,4619.0,129388857.1726,4154,1726.432,48557813.2835
2023-05-11 20:00:00,27844.8,28027.8,27775.4,27786.2,4222.029,117720059.6936,2321,2033.658,56833663.2711
2023-05-11 21:00:00,27775.4,27821.0,27545.0,27732.0,4068.242,112854096.7085,3569,2027.32,56389002.2439
2023-05-11 22:00:00,27732.0,27821.0,27512.0,27650.0,4097.196,113291726.0121,4030,2078.802,57657966.0686
2023-05-11 23:00:00,27592.3,28110.6,27499.0,27882.2,7450.134,206703412.3198,3185,5596.318,155462508.9711
2023-05-12 00:00:00,27792.6,28100.0,27729.1,28016.2,3974.035,110856977.6474,4371,1931.125,54101301.7132
2023-05-12 01:00:00,28019.4,28198.0,27708.8,28187.9,4361.513,121811146.3876,5291,2027.054,57034391.2771
2023-05-12 02:00:00,28129.0,28190.0,27499.0,27959.0,6939.349,192932336.4089,5274,2004.832,56405886.898
2023-05-12 03:00:00,27961.5,28110.6,27441.1,27449.0,4027.076,111794162.5961,5938,1872.226,52400674.4269
2023-05-12 04:00:00,27505.0,27995.9,27399.0,27801.9,4869.062,135090488.9773,4401,2520.246,70229975.2561
2023-05-12 05:00:00,27846.0,27995.9,26815.1,27147.8,10142.561,277216390.1539,4583,2100.185,57990256.709
2023-05-12 06:00:00,27302.0,27315.5,26708.1,26890.0,6207.537,167182167.9436,7019,2474.514,67096519.0072
2023-05-12 07:00:00,26901.0,27083.0,26666.0,26797.0,4941.628,132785683.0826,6733,2486.899,67167188.3598
2023-05-12 08:00:00,26813.0,26963.9,26645.0,26728.5,3699.414,99084778.1482,5378,1904.234,51123066.0446
2023-05-12 09:00:00,26739.0,26837.9,26622.8,26685.0,4681.85,125151756.8604,11116,2559.071,68594611.8154
2023-05-12 10:00:00,26625.1,26800.0,26620.0,26800.0,4284.697,114426021.0069,13238,2157.036,57760777.3275
2023-05-12 11:00:00,26739.2,26999.9,26620.1,26927.7,5179.221,138721472.7012,7490,2660.277,71552453.9536
2023-05-12 12:00:00,26847.0,26999.9,26652.1,26955.0,5289.972,142103307.1685,5611,2941.217,79224724.9355
2023-05-12 13:00:00,26955.0,27224.9,26860.0,27195.0,5876.153,159029149.3875,3428,3406.868,92429623.8117
2023-05-12 14:00:00,26934.3,27195.0,26793.0,26996.7,4861.089,131439049.5117,5722,2869.282,77876659.3563
2023-05-12 15:00:00,26996.7,27180.0,26708.1,26955.0,6530.352,175825510.3979,5344,3579.682,96683196.9137
2023-05-12 16:00:00,26866.6,29100.0,26708.2,27999.5,9569.826,265600670.3022,8461,5787.586,161716328.4753
2023-05-12 17:00:00,27936.9,27999.9,26969.9,27200.4,4301.393,118406023.5398,4213,2180.671,60708861.9019
2023-05-12 18:00:00,27500.2,27747.8,27166.1,27600.0,3735.324,102593982.7546,3355,1870.939,51862201.3833
2023-05-12 19:00:00,27600.0,27600.0,26480.1,26800.0,10277.432,276717321.3531,7206,2345.331,64136704.7409
2023-05-12 20:00:00,26739.0,27379.9,26708.1,27150.6,5580.591,150913524.892,4514,3363.935,91433330.2475
2023-05-12 21:00:00,26847.0,27300.0,26820.0,26955.0,4390.097,118752336.3113,3019,2382.399,64791681.5256
2023-05-12 22:00:00,26901.0,27550.0,26901.0,27055.2,3760.128,102183607.7584,2163,1931.12,52865556.2073
2023-05-12 23:00:00,27483.9,27489.5,27055.0,27055.6,3651.901,99602755.5473,1702,1957.613,53734630.4394
2023-05-13 00:00:00,27189.8,27447.9,26950.2,27350.0,4552.576,124076626.5309,1450,2449.507,67123670.7848
2023-05-13 01:00:00,26987.4,27670.0,26987.4,27300.0,3826.913,104513734.3691,1855,1908.373,52573039.4996
2023-05-13 02:00:00,27669.9,27692.2,27095.4,27096.0,3662.67,100308210.6268,2016,1870.325,51730715.8473
2023-05-13 03:00:00,27664.5,27664.5,27096.0,27661.8,3746.011,102592868.7994,1692,1882.119,52063552.5891
2023-05-13 04:00:00,27661.8,27662.5,27121.6,27300.0,3833.637,105079289.0204,1493,1979.047,54693928.8555
2023-05-13 05:00:00,27300.0,27649.9,27162.1,27165.0,4596.844,125913071.3465,1980,2451.182,67603469.6889
2023-05-13 06:00:00,27645.0,27650.0,27162.1,27580.0,4020.513,110188293.6259,1990,2066.614,57069513.5357
2023-05-13 07:00:00,27200.0,27686.7,27180.1,27476.9,5299.791,145261923.2733,2743,2632.012,72637346.5038
2023-05-13 08:00:00,27484.6,27747.9,27171.1,27180.0,4325.029,118417395.0977,3577,2049.42,56551842.8522
2023-05-13 09:00:00,27430.0,27475.0,27171.1,27444.0,3608.994,98642083.3273,1687,1832.993,50333655.4115
2023-05-13 10:00:00,27444.0,27473.9,27180.0,27406.6,3933.321,107648480.0553,1903,2034.507,55855033.5397
2023-05-13 11:00:00,27450.0,27450.0,27115.2,27450.0,4136.478,112978574.2135,1752,2070.871,56826504.788
2023-05-13 12:00:00,27424.3,27473.9,27000.0,27114.3,4251.292,115860080.9151,2323,2140.141,58705242.7043
2023-05-13 13:00:00,27050.0,27473.4,27003.2,27457.4,4469.953,121794878.6134,1590,2279.252,62565829.8984
2023-05-13 14:00:00,27020.0,27457.4,27020.0,27457.1,5955.642,162595090.9717,1849,3646.655,99940848.0961
2023-05-13 15:00:00,27150.0,27459.3,27060.0,27268.0,4287.753,116976469.9906,2766,2369.993,64965182.581
2023-05-13 16:00:00,27100.2,27450.0,27100.0,27271.1,4486.122,122383815.0481,3326,2373.574,65041621.9171
2023-05-13 17:00:00,27271.1,27442.0,27080.2,27441.3,4607.577,125709287.0787,4052,2528.131,69317697.4582
2023-05-13 18:00:00,27150.0,27441.3,27081.0,27297.7,4316.083,117643084.2749,2705,2141.018,58670472.2886
2023-05-13 19:00:00,27183.1,27441.8,27090.0,27218.4,3717.369,101483506.6967,2995,1877.932,51474543.4079
2023-05-13 20:00:00,27418.2,27441.8,27218.4,27265.5,4904.91,134118479.2261,3280,2551.851,69983699.0111
2023-05-13 21:00:00,27265.5,27425.3,27248.0,27425.2,4489.587,122692902.244,2821,2373.687,65014775.9977
2023-05-13 22:00:00,27379.7,27425.2,27248.1,27420.8,4070.759,111285333.0396,3182,2076.882,56948369.3994
2023-05-13 23:00:00,27382.3,27425.2,27248.1,27248.1,3832.613,104775174.4103,2566,1966.149,53904801.8469
2023-05-14 00:00:00,27248.2,27460.0,27248.1,27319.6,4322.216,118201581.9592,2956,2113.485,57998289.6181
2023-05-14 01:00:00,27319.7,27460.0,27248.1,27272.8,3785.894,103556007.4886,2722,1927.97,52914366.6353
2023-05-14 02:00:00,27346.0,27458.8,27248.1,27300.0,3881.7,106171691.2368,2356,1903.349,52236233.2755
2023-05-14 03:00:00,27458.7,27497.9,27248.1,27248.1,3383.842,92566218.968,2178,1642.52,45108387.9098
2023-05-14 04:00:00,27495.7,27700.0,27168.2,27686.7,4175.786,114397744.0671,3238,2130.665,58692081.6472
2023-05-14 05:00:00,27686.7,27735.0,27175.0,27731.1,3909.755,107414525.5973,5256,1957.085,54160124.1424
2023-05-14 06:00:00,27582.2,27747.9,27200.0,27424.8,4167.509,113985103.9304,3210,2096.359,57589514.9898
2023-05-14 07:00:00,27302.2,27664.6,27200.0,27600.0,3267.161,89456617.09,2783,1644.785,45215991.4789
2023-05-14 08:00:00,27500.0,27747.8,27203.9,27225.7,4010.423,109969740.3454,3343,2018.197,55669012.0963
2023-05-14 09:00:00,27225.7,27747.8,27204.0,27239.2,3979.502,109323721.5784,2702,2047.141,56512157.8955
2023-05-14 10:00:00,27239.2,27577.0,27204.0,27247.6,4030.283,110492075.4654,2425,2028.625,55903206.9801
2023-05-14 11:00:00,27271.0,27576.7,27247.6,27540.0,4826.907,132334071.6283,1896,2419.675,66685897.0734
2023-05-14 12:00:00,27300.1,27576.7,27269.5,27490.0,3317.289,90910014.0747,1526,1622.809,44650009.5533
